disease_name,age_range,gender,body_parts,symptoms,treatment,url
Warts,,Both men and women,Skin,"Warts are lesions/bumps in the skin and the thin skin that covers the inside surface of parts of the body, such as the nose and mouth.    Warts have a very long incubation period (the period from virus exposure to the onset of symptoms). It generally ranges from 1 to 6 months but can even take up to 12 months.   These lesions appear as skin growth with an irregular surface. Their size can range from 1 mm to several cm.  The other general signs and symptoms of warts include:",,https://www.1mg.com/diseases/warts-830
Hypothyroidism,,Both men and women but more common in women,"Thyroid gland
Heart
Peripheral nerves
Joints
Reproductive system","Stunted growth, Hypothyroidism can also affect infants, young children, or teens, causing symptoms such as:, Constipation, Reduced tolerance to cold, Unexplained weight gain and difficulty losing weight, Initially, hypothyroidism may not cause any symptoms. The symptoms often appear gradually and may not be noticeable in the earlier stages. There are various symptoms associated with hypothyroidism such as:, Thyroid gland enlargement (Goiter), Muscle and joint pains, Note: Infants may be born without a thyroid gland or with a poor-functioning gland and cause specific symptoms such as constipation, difficulty breathing, protruding tongue, and jaundice., Fertility problems in women of child-bearing age, Delayed onset of puberty, Lethargy and sleepiness, Elevated blood cholesterol levels, Chronic fatigue, Slower heartbeats, Depression, Puffiness of the face, Dry skin, Impaired memory, Disturbances in the menstrual cycle in women, Excessive hair fall, hair may become brittle, dry, and break easily, Hoarseness of voice","Hypothyroidism is treated by prescribing a synthetic version of the thyroxine hormone. The prescribed medicine must be taken every day in the morning or as prescribed by the physician. Certain medications such as iron and calcium supplements or aluminum hydroxide, which is found in some antacids, may interfere with the absorption of thyroxine.",https://www.1mg.com/diseases/hypothyroidism-138
Glaucoma,,Both men and women,Eyes,"However, there are certain signs and symptoms of glaucoma that should not be ignored. These include:, Enlargement of the eye: In kids below three years of age, enlargement of the eye due to raised intraocular pressure can occur. It is one of the characteristic symptoms of glaucoma. In adults, the eye cannot enlarge greatly because growth has ceased., Tunnel vision: It is one of the common symptoms of glaucoma. In this, the pressure on the nerves can damage the retinal nerve fibres which can lead to a characteristic pattern of vision loss. This leads to tunnel vision in which the peripheral vision is blocked. For example, when seeing a photo, you may not be able to see the peripheral picture but can see the centre portion of the picture with clarity. This can be seen when undergoing testing of the eyes., Pain in the eyes: It is mostly seen when there is a sudden buildup of pressure. It does not act as one of the characteristic features/symptoms of glaucoma when the rise in pressure is gradual and not sudden. In some cases, vomiting or nausea accompanying severe eye pain is also seen., Halos around light: When the pressure rises quickly due to closed angle glaucoma, the cornea becomes waterlogged which can affect the vision leading to halos around lights., Changes in the optic disc: The rise in intraocular pressure can lead to cupped, pale optic disc which acts as the key symptoms of glaucoma., Glaucoma usually has no early warning signs or symptoms. It progresses slowly and can go years without causing apparent vision loss., Because the early loss of vision is of side or peripheral vision, and the visual acuity or sharpness of vision is preserved until late in the disease, most persons with open-angle glaucoma feel fine and do not notice a change in their vision at first. The condition is usually fairly advanced by the time a patient notices vision loss. Glaucoma causes vision loss that is irreversible, even with surgery.","Glaucoma can't be reversed once it's started. Treatment and regular examinations, on the other hand, can help decrease or prevent vision loss, especially if the disease is caught early.",https://www.1mg.com/diseases/glaucoma-71
Obsessive-compulsive disorder,,Both males and females,Brain,"Individuals with OCD may have symptoms of obsessions, compulsions, or both. Obsessions are repeated thoughts, urges, or mental images that cause anxiety. Compulsions are repetitive behaviors in response to obsessive thoughts. Some of the symptoms of OCD are discussed below:",,https://www.1mg.com/diseases/obsessive-compulsive-disorder-150
Kidney cancer,,Both men and women but more common in men,Kidney and surrounding organs,"A fever that keeps coming and going, A mass (lump) on the side or lower back, Feeling tired all the time., Loss of appetite, Lower back pain, A person with kidney cancer may or may not have one or more of the symptoms in the early stages. With time, signs and symptoms may develop which include:, A general feeling of poor health, Access to quality cancer care shouldn’t be left to chance. Tata 1mg is here to ensure you get the support and care you deserve. Explore Cancer Care Platform, Blood in urine (hematuria)",,https://www.1mg.com/diseases/kidney-cancer-230
Myopia,,Both boys and girls but more common in girls,Eyes,"Excessive blinking, Eyestrain, Rubbing eyes frequently, Headaches, Myopia, commonly known as nearsightedness, is a prevalent refractive error of the eye that blurs distant objects while allowing close objects to be seen clearly. Typically emerging in childhood or adolescence, its severity tends to increase until adulthood, where it may stabilize or, in some cases, improve.  The symptoms of myopia can vary from person to person but commonly include:, Difficulty seeing objects far away, such as road signs or a blackboard at school., Sitting near the TV or computer screen, Squinting when reading the board or watching TV",Myopia treatment options can be divided into non-surgical and surgical approaches.,https://www.1mg.com/diseases/myopia-857
Addison's disease,,"Both men and women, but more common in women.","Adrenal glands
Skin",Addison’s disease is a hormonal disorder with an array of symptoms. These include:,,https://www.1mg.com/diseases/addisons-disease-120
Insomnia,,Both men and women but more common in women,Brain,"Getting up too early, Difficulty falling asleep, Increased errors or accidents, Tiredness and sleepiness during day time, Problems with work, family, and social life, Difficulty staying asleep, The symptoms of insomnia include:, Problems in day to day functioning due to insufficient sleep, Problems with concentration and memory, Irritability, grumpiness, mood swings, and anxiety","Treatment of insomnia includes making changes in sleep habits, taking medicines, doing relaxation exercises, and treating the underlying condition that causes insomnia.",https://www.1mg.com/diseases/insomnia-153
Hair loss,,Both men and women but more common in women,"Hair
Scalp","Signs and symptoms of hair loss can present in many ways as the following:, Full-body hair loss. Some health conditions and treatments such as chemotherapy for cancer, can cause loss of hair from all over the body., Loosening  of hair. Clumps of hair might come out while combing or washing hair., Apart from the obvious signs of hair fall, some other symptoms may also be present with your hair fall., Intense itching and redness in the scalp: This could occur due to an underlying infection in the scalp., Receding hairline(frontal fibrosing alopecia). If the hairline starts looking higher than the usual position., Note: Gradual hair loss is more common and tends to affect everybody at least once in their lifetime. The signs of gradual hair loss are subtle and may take a long time before you even notice your hair fall!, Circular or bald patches. Some people develop circular or bald patches on their scalp, beard or eyebrows., Pus-filled sores on the scalp: Some conditions such as folliculitis can cause pus-filled blisters on the scalp resulting in temporary hair loss., Thinner ponytail., Widening partition. If someone parts their hair, they might notice the part getting wider over time., Burning and tingling on the scalp: Some people who have alopecia areata experience might experience burning and stinging prior to sudden hair loss., Gradual loss or thinning of hair on top of head., Scalp starts getting visible through the hair., Hair loss can be gradual or rapid. The symptoms for gradual hair loss include hair thinning, widening of part, receding hairline. The symptoms for rapid hair loss include clumps of hair in comb or drain, a bald patch that appeared recently and severe hair fall., Scaly bald patches, often with sores: It can be a sign of fungal infection like ringworm or due to a chronic disease like psoriasis.",There are many treatment options for hair loss right from the use of medications to hair transplantation. These are:,https://www.1mg.com/diseases/hair-loss-77
Leprosy,,Both men and women.,"Skin
Peripheral nerves
Hands
Feet
Eyes
Earlobes
Nose
Testicles
Kidneys","Loss of sensation in toes and fingers., Skin lesions which are typically flat, pale (hypopigmented) or reddish (erythematous) spots in the skin, Muscle weakness and atrophy of the small muscles of the hands or feet, leading to paralysis or crippling., Thinning of eyebrows and eyelashes. Sometimes loss of eyebrows., Patchy discoloration of the skin., Painful, tender, and enlarged nerves., This is a very slowly progressing disease, and it may take as many as 5 years on average for the symptoms to appear after the infection. You may be suffering from leprosy if you have the following symptoms:, Non-healing ulcers on the soles of the feet., Growth of lumps on the face or earlobes that are painless., Extra growth of nodules on the skin., Vision changes., Burning and tingling sensations (paresthesias)., Skin lesions with slightly decreased sensitivity to touch or pain., Loss of sensation in the affected spots of the skin., Skin becomes thick, dry, and hard., Hair loss in the affected area, Ulcer formation on the soles of feet that may be painless., Diminished sensation or feeling in the affected areas (anesthesia), Change in the shape of the nose.","As leprosy is a bacterial disease, it is treated with a combination of antibiotics for a period of 6 months or 12 months depending upon the type of leprosy and can be extended as per individual case. As per the WHO guidelines, a 3-drug regimen of rifampicin, dapsone and clofazimine is recommended for all patients, with a treatment duration of 6 months for paucibacillary leprosy(PB) and 12 months for multibacillary leprosy (MB). This therapy helps to prevent the development of antibiotic resistance by the bacteria, which may further increase the course of treatment. The condition can be cured if the treatment is followed and completed as recommended by the doctor.

Antibiotics used to treat leprosy act by killing the bacteria, and hence, can cure the disease and prevent it from getting worse. However, it does not reverse the nerve damage or any physical deformation that has occurred prior to the diagnosis of the condition. Hence, it is extremely important to diagnose the condition at the earliest to prevent permanent nerve damage.",https://www.1mg.com/diseases/leprosy-264
Itching,,Both men and women. More common in women.,,"Itching can affect a small area, such as the scalp, arm, leg, or whole body of the individual. Itchy skin can occur without any noticeable changes on the skin however in some cases, associated symptoms may include:",,https://www.1mg.com/diseases/itching-373
Limb-Girdle Muscular Dystrophy (LGMD),,Both male and female,"Shoulders
Hips
Calves
Trunk
Spine
Heart","Enlarged calf muscles, Difficulty lifting arms or carrying objects, Increased chest infections, Weak shoulders and upper arms, Breathing and heart symptoms (in some types), Unsteady or slow walking, Are you curious about uncommon diseases like LGMD and the importance of early awareness? Learn more about rare diseases in India. Read This, Poor sleep and morning headaches, Frequent falls and difficulty running, The main symptoms of limb-girdle muscular dystrophy include muscle weakness and muscle loss (atrophy), mainly affecting the shoulders, upper arms, hips, and upper legs. These include:, Trouble swallowing or slurred speech (in advanced cases), Irregular heartbeat, Shortness of breath or breathlessness, Weakness in the hips and thighs, Daytime tiredness, Trouble climbing stairs or walking uphill",,https://www.1mg.com/diseases/limb-girdle-muscular-dystrophy-lgmd-1075
Morning sickness,,Women,"Stomach
Intestines,
Brain’s trigger zone","All-day nausea (reported by 80% of affected women, rather than only morning bouts), Hunger pangs, Vomiting, Gastroesophageal reflux disease (acid reflux), Motion sickness., Feeling of something stuck in the throat, Morning sickness is one of the most common early signs of pregnancy. It usually begins in the 4th–9th week, peaks between weeks 7–12, and resolves by week 16 for most women. Associated symptoms include:, Fatigue or Tiredness, Nausea",,https://www.1mg.com/diseases/morning-sickness-211
Urinary tract infections (UTIs),,Both men and women but common in women,"Kidneys
Urinary Bladder
Urethra
Ureter","A strong and persistent urge to urinate, The common signs and symptoms of urinary tract infection include:, Urethra (urethritis), Bladder (cystitis), Feeling of not able to empty your bladder completely, Kidneys (acute pyelonephritis), Experiencing a burning sensation while urinating, Urinary tract infections usually do not cause any signs and symptoms in its early course. However, there are certain symptoms which every woman needs to be aware of and book an appointment with a gynecologist if the symptoms fail to improve in a day or two with home treatment. Each type of UTI may result in more-specific signs and symptoms depending on which part of your urinary tract is infected which are:, Appearance of blood in the urine, A sudden urge to urinate, Appearance of cloudy urine, Strong-smelling urine, Feeling pain when you urinate, Experience lower back pain",Antibiotics are the primary options for the treatment. If you have ever taken antibiotics you would have noticed that you start feeling better on the second day of taking the medications whereas your doctor has prescribed you 5 days worth of pills.,https://www.1mg.com/diseases/urinary-tract-infections-utis-530
Duchenne muscular dystrophy(DMD),,"Boys most commonly, rarely in  girls","Heart
Lungs
Throat
Stomach
Intestines
Spine","Breathing muscle weakness, Muscle weakness, especially in the hips, thighs, shoulders, and upper arms, Early childhood signs:, Clumsiness and frequent falls, Need for leg braces, followed by wheelchair use (often by ages 10-12), Difficulty in jumping, running, or climbing stairs, Quick byte: Muscular dystrophy isn’t just one disease—it’s a group of 30+ genetic conditions that slowly weaken muscles. Duchenne muscular dystrophy is one of the most common and fastest-progressing, often starting in early childhood.  Are you curious about uncommon diseases like DMD and the importance of early awareness? Learn more about rare diseases in India. Read This, Joint tightness, As the disease progresses:, Using the hands to push up from the floor when standing (Gower's sign), Toe walking and waddling, Spinal curvature (scoliosis), Duchenne muscular dystrophy (DMD) symptoms usually begin in early childhood and gradually worsen over time. Common symptoms include:, Calf enlargement (Pseudohypertrophy), Delayed milestones like sitting, walking, or standing",The main goal of treatment is to reduce symptoms and improve quality of life. Treatment varies depending on disease stage and individual needs. It usually involves:,https://www.1mg.com/diseases/duchenne-muscular-dystrophydmd-887
Fatty liver disease,,Both men and women,"Liver
Kidneys
Pancreas","Edema (swelling), especially in the legs, Confusion, Larger than normal breasts in men, Skin and eyes appear yellow due to jaundice, Abdominal pain, Swollen belly, Enlarged blood vessels underneath your skin, Fatty liver disease can progress through four stages, which include:, With NAFLD there are usually no symptoms in the early stages. However, in a few cases, the patient may feel tired and have discomfort in the upper right side of the abdomen. In cirrhosis (latter stages of NAFLD), the following symptoms can be observed:, Weakness or fatigue, Loss of appetite, Pale stools, Dark-colored urine, Fluid accumulation in the abdomen (ascites), Weight loss",The first-line treatment for fatty liver disease is lifestyle intervention with diet modifications and exercise regime.,https://www.1mg.com/diseases/fatty-liver-disease-718
Dehydration,,Both male and female,"Skin
Lungs
Kidneys
GI tract",Symptoms of dehydration in adults and children include:,,https://www.1mg.com/diseases/dehydration-54
Spondylosis,,Both men and women,"Spinal cord
Spinal nerves
Intervertebral discs","Pain and stiffness of the lower back, Pain and stiffness of the neck, Problems in Balancing the body, Tingling and/or numbness in the lower limbs, Radiating or sharp shooting pain in the upper limbs, Vertigo or sensation of feeling off-balance, Dizziness, Inability to stand or walk for longer durations, Grinding noise in the neck when the neck is turned sideways, Radiating or sharp shooting pain in the lower limbs and buttocks, Tingling and/or numbness in the upper limbs",The primary aim of the treatment of spondylosis is to provide pain relief and address other troublesome symptoms. Following medications are useful in the treatment of cervical and lumbar spondylosis.,https://www.1mg.com/diseases/spondylosis-901
Gonorrhea,,Both men and women but more common in women,"Urethra
Vagina
Uterus
Penis
Cervix
Throat","Hematuria (passage of clear urine with blood), Turbid and foggy cornea, Swelling of the eyelid and conjunctiva, Urethral discharge, Swelling of the epididymis, The incubation period of gonorrhea (the time between exposure to the infection and the appearance of symptoms) is 10 days in women and 1-3 days in men. The various symptoms are listed below:, Red eyes, Hematuria (blood in urine), Discharge from the anus, 3. Proctitis: It refers to the inflammation of the lining of the rectum. It is developed due to anal-genital intercourse. In most of the cases, it is asymptomatic. Some patients may experience symptoms such as :, Lower abdominal pain, Vomiting, Blood in the stool, Swollen lymph nodes in the neck, Hemospermia (blood in semen), Urgency, Thick pus in the eyes, Rectal pain, Rectal bleeding, Dysuria, 2. Perihepatitis: It refers to the inflammation of the liver capsule. It is characterized by:, Increase in vaginal discharge, Abnormal vaginal discharge, 3. Prostatitis: It refers to the inflammation of the prostate gland. The typical symptoms in gonorrhea include:, Irregular vaginal bleeding, White spots on the throat, Here’s more on the common causes & treatment of vaginal discharge., Discharge from the urethra, Sudden pain in the upper abdomen, 1. Pelvic inflammatory disease: It refers to the inflammation of the female genital tract). It is characterized by the following symptoms:, Frequent urination, Pain or discomfort in the pubic region, Anorexia (loss of appetite), Painful erection, Fever, Tenesmus (frequent and urgent feeling of passing the stool), 2. Seminal vesiculitis: It refers to the inflammation of the tube that produces fluid for the semen known as the seminal vesicles. The typical symptoms include:, Dysuria (painful urination), 1. Oral gonorrhea: It is also known as pharyngeal gonorrhea. Oral contact with either penis or vagina can cause oral gonorrhea. Usually oral gonorrhea remain asymptomatic but can cause following symptoms:, Redness of the throat, These symptoms are common for men and women and usually take 7-21 days to appear after oral contact with the infected genitals. Kissing does not spread oral gonorrhea as bacteria do not infect the mouth and tongue.   2. Gonococcal conjunctivitis (GC): GC infects the eyes and spreads through the direct contact of the eye with the infected secretions of the genitals.   An infected pregnant woman can also transmit the infection to the neonates during delivery. It occurs due to exposure of the neonate to the vaginal secretions which contain bacteria. When it occurs in neonates, GC is also known as gonococcal ophthalmia neonatorum. Symptoms take 24 to 28 hours following exposure to the bacteria and include:, Urinary itch, Chills, Itching and burning sensation in anus, Severe pain in epididymis, groin and lower abdomen, Nausea, Difficulty in swallowing food, Sore throat, Inflammation of the anus, 1. Epididymitis: It refers to inflammation of epididymis(a coiled tube attached to each of the two male reproductive organs, the testes). The typical symptoms include:",,https://www.1mg.com/diseases/gonorrhea-767
Vitiligo,,"Both men and women, but more common in women.","Face 
Hands
Inner area of the mouth
Genitals
Nose
Rectum 
Eyes
Inner ear","Vitiligo presents itself clinically as white spots on the body distributed symmetrically and more obvious in people with dark skin. Discoloration first shows on sun-exposed areas like hands, lips, arms, and face. Other symptoms include:",,https://www.1mg.com/diseases/vitiligo-375
Enlarged Spleen,,Both men and women,Spleen,"Pay attention to all of these signs. Get professional advice from specialists for prompt diagnosis and tailored care. Book An Appointment Now, Reduced red blood cells lead to anemia, Usually, an enlarged spleen does not exhibit any observable signs or symptoms but sometimes it may result in:, Frequent infections, A feeling of fullness even without eating or after consuming a small quantity, as the spleen exerts pressure on the stomach, Increased susceptibility to bleeding, Discomfort in the upper left abdomen may radiate to your left shoulder or back.",,https://www.1mg.com/diseases/enlarged-spleen-1040
Melasma,,Both men and women but more common in women,"Cheeks
Chin
Nose bridge
Forehead
Upper lip",,,https://www.1mg.com/diseases/melasma-381
Varicose veins,,"Both men and women, but more common in women.","Legs 
Feet
Calves
Pelvis","Patients with varicose veins present with symptoms ranging from asymptomatic to significant symptoms, which include:",,https://www.1mg.com/diseases/varicose-veins-199
Anaphylaxis,,Both men and women but more common in women,"Skin
Respiratory system
Gastrointestinal system
Cardio-vascular system
Central nervous system","Excessive tearing, Loss of consciousness, Anxiety, Respiratory symptoms:, As anaphylaxis is a generalized systemic reaction, a wide variety of clinical signs and symptoms involving the skin, gastrointestinal and respiratory tracts, and cardiovascular system can be observed. The most common clinical manifestations include:, Read more about allergic conditions. Click Here, Wheezing, Vomiting, Metallic taste in the mouth, Uterine cramps and bleeding, Diarrhea, Pruritus (itching), Conjunctival (eye) symptoms, Sense of impending doom, Confusion, Red, hot, and itchy rashes, Stridor (high pitched sound on respiration), Urticaria (skin rashes), Lightheadedness, Abdominal pain, Bronchospasm (tightness of muscles lining the lungs), GI symptoms:, Difficulty in breathing, Other symptoms, Gasping, Tachycardia (increased heart rate), Bradycardia (decreased heart rate), Laryngeal edema (swelling in the throat), Cardiovascular symptoms:, Pale and cold skin, Tingling, Cutaneous (skin) symptoms:, Erythema (redness), Neurological symptoms:, Hypotension (low blood pressure), Nausea","The treatment of anaphylaxis depends upon the ability of the patient to describe the situation but if the patient is unconscious or not properly conscious, understanding the symptoms becomes important. Anaphylaxis treatment includes:",https://www.1mg.com/diseases/anaphylaxis-947
Hypertension (high blood pressure),,Both men and women but more common in men,"Heart
Blood vessels","Chest pain, Swelling in the legs and feet, Hypertension is a ‘silent killer’. Most of the time, the signs and symptoms are none. Symptoms may show up in long-standing or severe hypertension., The signs and symptoms include, Abnormal heart sounds, Dizziness, Dyspnea, Retinal bleeding, Changes in reflexes, Changes in vision, Narrowing of the eye blood vessels, Nosebleeds, Fatigue, Headache","The main aim of treatment of hypertension is to keep the blood pressure within the normal range to lower the risk of future complications. Many drugs like diuretics, calcium channel blockers (CCBs), angiotensin-converting enzyme (ACE) inhibitors, angiotensin II receptor blockers (ARBs), beta blockers, vasodilators, etc. are currently available for reducing blood pressure. More than two-thirds of hypertensive individuals are suggested two or more antihypertensive drugs, selected from different classes of drugs to treat their hypertension.",https://www.1mg.com/diseases/hypertension-high-blood-pressure-68
Sore throat,,Both men and women,Throat,"Fever, Nasal congestion, A sore throat means that your throat hurts, feels irritated or scratchy. You may feel mild discomfort or burning pain in the throat and sometimes even difficulty in swallowing or talking. Your throat might become red. In some cases, white patches can be seen in your throat (mostly on tonsils), which are common in case of strep throat (a bacterial infection).  In addition to sore throat, you can also experience other symptoms such as:, Runny nose, Note: The symptoms might vary based on the causes of the sore throat., Red and swollen tonsils, Chills, Loss of appetite, Cough, Sneezing, Headache, Bodyache",While sore throat caused due to viruses is usually self-limiting and no antibiotic treatment is needed; a bacterial cause may need prompt medical care.,https://www.1mg.com/diseases/sore-throat-546
Ear infection,,Both boys and girls,Ears,"Need gentle ear care solutions? From pain relief drops to wax removers, explore ear-friendly options curated for all ages. However, remember to always consult your doctor first, especially for recurring or severe symptoms. Check Ear Essentials, Ear pain or a feeling of pressure, Fluid (pus or blood) draining from the ear, Sore throat or nasal congestion, Balance problems or clumsiness, Dizziness or balance issues, Muffled hearing or hearing loss, Ear infections can affect anyone, but are especially common in children. While adults usually describe pain or pressure, young children may show more behavioral signs., Trouble hearing or not responding to sounds, Common symptoms include:, Trouble sleeping or frequent waking, Headache, Loss of appetite (especially during feeding, due to pressure while swallowing)., Crying more than usual, Unusual fussiness or irritability, Fever over 38°C (100.4°F), Symptoms in children, Fever, Drainage from the ear, Tugging or pulling at the ear",,https://www.1mg.com/diseases/ear-infection-729
Hepatitis B virus (HBV) infection,,"Both men and women, but, more common in men",Liver,"Abdominal discomfort or pain, Flu-like symptoms such as muscle aches, Jaundice (yellowing of the skin and eyes), Swelling of the abdomen due to fluid buildup (ascites), Confusion or difficulty concentrating (hepatic encephalopathy), Signs of liver failure or liver cirrhosis, Increased risk of liver cancer over time., Mild fever and joint pain, Fatigue or tiredness, Many people, especially children, may show no symptoms initially. When symptoms do occur, they often appear 1 to 4 months after exposure and can vary from mild to severe. Common symptoms can include:, Loss of appetite, Dark urine and pale-colored stools, Symptoms in severe or chronic cases:, Nausea, Your liver performs over 500 vital functions, including detoxification, digestion, and metabolism. Maintaining liver health is essential for overall well-being.  Explore Liver Care, Easy bruising or bleeding caused by impaired liver function, Persistent fatigue and weakness",,https://www.1mg.com/diseases/hepatitis-b-virus-hbv-infection-285
Postpartum depression,,"Both men and women, but more common in women",,"Loss of interest, Anxiety, Depressed mood, Loss of energy or fatigue, Agitation, However, when emotional distress is severe, persistent, or begins later, it may indicate postpartum depression,  a serious mood disorder that affects 10–20% of women after childbirth., Baby blues symptoms may include:, Change in appetite, Doubting one’s ability to be a good parent, Symptoms of postpartum depression can include:, Feeling less attractive post-delivery, Limited time for self-care, A sense of lost identity or reduced self-esteem, Change in weight or appetite., It's common for new mothers to experience a wide range of emotions after childbirth. Many experience what's known as the ""baby blues"", feelings of sadness, mood swings, tearfulness, irritability, anxiety, and feeling overwhelmed. These symptoms usually begin within 2–3 days after delivery, peak around day 4 or 5, and resolve within two weeks without treatment., Sleep disturbances and tiredness, Feeling pressure to be the “perfect” mom, Changes in sleep patterns or insomnia (lack of sleep), Feelings of worthlessness or guilt, Inability to concentrate or indecisiveness, Recurrent thoughts of death, which may include thinking about or even planning suicide",,https://www.1mg.com/diseases/postpartum-depression-960
Ovarian cancer,,Women,"Ovary
Fallopian tube
Uterus
Stomach
Small intestine
Large intestine
Lymph nodes
Lungs",,,https://www.1mg.com/diseases/ovarian-cancer-225
Crohn’s disease,,Both men and women but more common in women,"GI tract:
Oral Cavity
Esophagus
Liver
Stomach
Small Intestine
Terminal Ileum
Large Intestine/Colon
Rectum
Anus","Sensation of incomplete evacuation, Constipation, Malnutrition (it  occurs when your body does not receive the necessary vitamins, minerals, and nutrients)., Nausea and vomiting, Mouth sores, Inflammation in other areas of your body, such as your joints, eyes, and skin, Intestinal obstruction, a blockage in the intestine, Anal fissures (small tears in your anus that may cause itching, pain, or bleeding), Abscess (a collection of pus, which can develop in the abdomen, pelvis, or around the anal area), Blood stains in stool, Rectal bleeding, Fistula (intestinal ulcers that extend and form a tunnel (fistula) to another part of the intestine, the skin, or another organ), Weight loss, A loss of appetite, liver or bile duct inflammation, Swelling in inner lining of stomach, A feeling of fullness, During a flare of Crohn’s disease symptoms, a person may also develop, Mucus in stool, skin rash and inflammation, Fever, Arthritis, Ulcers, open sores in your mouth, intestines, anus, Uveitis (eye inflammation), Chronic diarrhea (for more than 4 weeks), Stomach pain or cramps, The symptoms of IBD vary from person to person, may change over time, and can range from mild to severe., Fatigue, Anemia (a condition in which you have fewer red blood cells than normal)",The medical treatment is broadly classified into five groups-,https://www.1mg.com/diseases/crohns-disease-57
Anal fissure,,Both men and women,Anus,You may be suffering from anal fissure if you have the following signs and symptoms:,,https://www.1mg.com/diseases/anal-fissure-74
Hypermetropia,,"Both men and women, but more common in women",Eyes,"Headaches, especially during reading, Double vision while reading, Hypermetropia, hyperopia, or farsightedness is a refractive error where distant objects can be seen more clearly than nearby objects.   Here are some common symptoms associated with hypermetropia:, Eye strain, characterized by tired or sore eyes, Squinting when reading, Blurry vision, particularly when focusing on nearby objects, Dull eye pain, Difficulty reading",Treatment options for hyperopia include:,https://www.1mg.com/diseases/hypermetropia-1030
Gallbladder stones,,Both men and women but more common in women,Gallbladder,"Severe or radiating abdominal pain, Other gallbladder symptoms include:, This pain can last for around 20 minutes to several hours., Gallbladder stones symptoms differ from person to person, depending on the size and location of gallstones. The most prominent and visible gallbladder stones symptoms are sudden intensifying abdominal pain and other related digestive problems. For most people, the gall stones may remain silent and do not show any signs and symptoms. These types of silent gallstones usually do not pose any major risks of health concerns. However, if the gallstones block or get into the bile duct, they may cause other health complications. So it is always advised to consult a physician immediately for an early diagnosis and treatment.  Some of the common signs and symptoms of gallbladder stones include:  1. Sudden intensifying pain in the stomach, Another common symptom of gallbladder stones is nausea and vomiting. Increased pressure in the gallbladder caused by gallstones may increase the fluid imbalance in the stomach, which in turn may cause nausea and vomiting., The warning symptoms that require urgent medical care include:, Radiating pain in the right shoulder, Pale or yellowish skin, Loss of appetite, An increased amount of gas secretion or gas buildup in the digestive system due to underlying health conditions such as gallbladder stones can also trigger flatulence., 3. Nausea and vomiting, Sudden pain in the stomach is the most common symptom of gallbladder stone. The pain usually occurs at the upper right portion of the abdomen and may radiate to other regions., Some people with gallstones may develop flatulence., Abdominal bloating, Stomach bloating, Chest pain, Most of the above-mentioned symptoms of gallbladder stones may resemble other gastrointestinal problems, such as ulcer, appendicitis, or pancreatitis. So early recognition and treatment of gall bladder stones are crucial to reducing the risks associated with it.  Kidney stones are not the same as gallstones. Here’s everything you need to know about kidney stones. Click To Know!, Fever, Clay-colour stools, 2. Flatulence, Increased pressure within the gallbladder or a block in the bile duct due to gallstones may cause pain in the abdomen., Yellowing of skin or whites of the eye","People who have silent gall bladder stones (asymptomatic gallstones) show mild symptoms and may not require any treatment. However, for people with gallstone complications and having intense pain in the abdomen, the following treatments may be required:",https://www.1mg.com/diseases/gallbladder-stones-549
Multiple sclerosis (MS),,Both men and women but more common in women.,"Brain
Spinal cord
Nerves",Multiple sclerosis can cause a wide range of symptoms and affect any part of the body. Each person with the condition is affected differently and the symptoms can be unpredictable. Some people have mild symptoms while others may have severe trouble in doing their daily tasks. These problems may come and go or persist and worsen over time.,,https://www.1mg.com/diseases/multiple-sclerosis-ms-234
Paget's disease,,Both men and women but is more common in men,"Any Bones 
Pelvis 
Skull 
Legs 
Spine","Paget's disease of bone often manifests with bone or joint pain and nerve compression symptoms but can be asymptomatic and detected incidentally., Headaches, 4. Spine, Commonly Affected Areas and Symptoms:, Partial loss of limb movement or loss of bowel/bladder control requires prompt consultation with a doctor. Book An Appointment Here, 1. Pelvis, Movement loss, numbness, tingling, Joint pain, stiffness, and swelling, Bone bending, enlargement, and deformities, 2. Skull, 3. Leg, Note: Advanced stages of the disease may exhibit additional bone changes, such as increased head size, limb bowing, or spinal curvature. Rarely, Paget's disease can progress to bone cancer., Pain, osteoarthritis in knee/hip, Pain, and tingling in arms and legs due to nerve compression, Hearing loss, Balancing problems, Hip pain, Warmth over the affected bone","Although there is no cure for Paget’s disease of bone, there are treatments available to help you live well and manage the symptoms.",https://www.1mg.com/diseases/pagets-disease-732
G6PD Deficiency,,Both men and women but more common in men,"Red blood cells
Liver","Dark coloured urine, Weakness, Confusion, Chronic spherocytic anemia (premature destruction of red blood cells), Fever, Neonatal jaundice (yellowing of the skin and eye due to the deposition of a pigment called bilirubin in newborns) usually appears within 24 hours after birth., Enlarged spleen and liver, Individuals with G6PD deficiency remain asymptomatic throughout their lifetime until they are exposed to an external agent that triggers clinical manifestations., When exposed to triggers, G6PD deficient are at risk of the following conditions:, Trouble with physical activity, The high level of bilirubin is a maker of several disorders such as jaundice, anemia, and liver disease. Get your bilirubin level checked if you are noticing the above symptoms. Book Your Test, The signs and symptoms of these conditions include:, Dizziness, Increased heart rate, Some persons may have right upper quadrant tenderness due to increased bilirubin (pigment produced due to the breakdown of red blood cells)., Hemolytic anemia (destruction of red blood cells), Lethargy, Pale skin",,https://www.1mg.com/diseases/g6pd-deficiency-1041
